Competition,Year,Startup,Funding Post-Competition,Source of Funding,Source,Other Resources/Stories,Researcher,Dead or Alive,Notes,Keywords,,,,,
,,,"$141,000",NSF STTR,http://rebound-tech.com/news/nsf-sbir-phase-1,,Alex,,,,,,,,
,,,"$75,000.00",Hawaii Energy Excelerator,http://rebound-tech.com/news/energy-excelerator-acceptance,,Alex,,,,,,,,
,,,"$40,000.00",Seed funds,https://www.crunchbase.com/organization/rebound-technology-llc#/entity,,Alex,,,,,,,,
,,,"$2,000.00",CU New Venture Challenge,http://cunvc.org/about/2012-winners/,,Alex,,,,,,,,
Clean Energy Trust,2013,ReCraft,,,,,Alex,,Seems like a Canadian company,,,,,,
Caltech First Look West,2015,ReeBeez,"$15,000",Innovation Coast Conf.,https://www.marshall.usc.edu/faculty/centers/cgi,eLab incubator,Alex,,,,,,,,
Caltech First Look West,2014,REEcycle,"$150,000.00",SBIR Phase 1,http://www.reecycleinc.com/coverage/,,Alex,,,,,,,,
,,,"$20,000.00",Int'l Business Model Competition,,,Alex,,,,,,,,
,,,"$2,500.00",Tulane BMC,,,Alex,,,,,,,,
,,,"$10,000.00",MIT CET audience choice,,,Alex,,,,,,,,
,,,"25,000",New Venture Competition,,,Alex,,,,,,,,
ACC Clean Energy Challenge,2013,Refrackt,"$10,000.00",Duke Student Challenge,,,Alex,,,,,,,,
,,,"$14,000",Grants,Awardee Reporting,,Alex,,,,,,,,
Clean Energy Trust,2012,ReGenerate Solutions,"$100,000",Other Competitions,Awardee Reporting,,Alex,,,,,,,,
,,,"$95,000.00",Angel or Other Seed Funds,Awardee Reporting,,Alex,,,,,,,,
,,,"$100,000",WM Think Green prize,,,Alex,,,,,,,,
Rice Business Plan Competition,2012,reNature,"$275,000.00",,Awardee Reporting,"MAC6 Incubator ($20,000), NCIIA Award ($5,000), Global Entrepreneurship Week Startup Open ’50 Most Promising’ Ventures, ASU Edson Student Entrepreneur Initiative ($20,000), MassChallenge ($50,000; https://www.cbinsights.com/c-5bf1533d1ca6d68026cf1f0d95ddf948)",Alex,,,,,,,,
,,,500,Rice BPC,http://www.alliance.rice.edu/RBPC2012_Winners_PressRelease/,,Alex,,,,,,,,
Clean Energy Trust,2013,Reuse-e,"1,000",MCEVC,,,Alex,,,,,,,,
Clean Energy Trust,2012,Reversible off the Grid Heated Blankets,,,,,Alex,,,,,,,,
Caltech First Look West,2012,Roadwise Technologies,"$2,000",Big Bang Business Competition,,,Alex,,,,,,,,
Clean Energy Trust,2012,Root3 Tech,"$1,000,000",VC - Series A,Awardee Reporting,"Greenstart Accel, 30 under 30",Alex,,,,,,,,
,,,"$500,000.00",Angel or Other Seed Funds,Awardee Reporting,,Alex,,,,,,,,
,,,"115,000",Greenstart,http://root3tech.blogspot.com/,,Alex,,,,,,,,
Caltech First Look West,2013,Saaf Engineering,"$3,000.00",Zahn Prize Competition,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1366,Moxie Center Incubator,Alex,,,,,,,,
ACC Clean Energy Challenge,2012,SafeLiCell,"$15,000",ACC Clean 2nd Place,,,Alex,,Founder goes to grad school,,,,,,
,,,"$10,000",ACS Green Chemistry Business Plan Comp.,http://www.bioe.umd.edu/news/news_story.php?id=6603,,Alex,,,,,,,,
MIT Clean Energy Prize,2015,Safire,"$17,500.00",Rice BPC,http://cep.mit.edu/content/mit-clean-energy-prize-announces-2015-winners,,Alex,,Not forming a company,,,,,,
,,,"$10,000",Harvard's Presidential Challenge,http://news.harvard.edu/gazette/story/2015/04/answering-an-urgent-call/,,Alex,,,,,,,,
Clean Energy Trust,2012,Saturnis,"$2,500.00",Angel or Other Seed Funds,Awardee Reporting,,Alex,,,,,,,,
,,,"$50,600.00",Arch Grant Award,Awardee Reporting,,Alex,,,,,,,,
,,,"$10,000.00",CET state competition,,,Alex,,,,,,,,
,,,"$1,000.00",Rice BPC shark tank round,,,Alex,,,,,,,,
ACC Clean Energy Challenge,2013,Sidewinder Thermal Management,,,,Cleantech Open Accelerator,Alex,,,,,,,,
Clean Energy Trust,2013,Signal Techtronics,"$5,000.00",MCEVC,,"Blackstone LaunchPad, Venture Accelerator",Alex,,,,,,,,
,,,"$2,000.00",Warrior Fund,,,Alex,,,,,,,,
MIT Clean Energy Prize,2012,SignTurbine,,,,,Alex,,,,,,,,
"Clean Energy Trust
 Caltech First Look West 2012
 Rice Business Plan Competition 2013",2012,SiNode,"$150,000",SBIR/STTR,Awardee Reporting,,Alex,,,,,,,,
,,,"$1,000,000",SBIR,,,Alex,,,,,,,,
,,,"$8,800",Other Competitions,Awardee Reporting,,Alex,,,,,,,,
,,,"$400,000.00",Venture funding,Clean Energy Trust Illinois Challenge,,Alex,,,,,,,,
,,,"$711,000.00",Rice BPC,,,Alex,,,,,,,,
,,,"$50,000.00",Global Automotive Innovation Challenge,https://www.nextenergy.org/release-winners-crowned-for-global-automotive-innovation-challenge/,,Alex,,,,,,,,
,,,"$20,000.00",Clean Tech Open,,,Alex,,,,,,,,
Rice Business Plan Competition,2014,SioTeX Corporation,"$10,000.00",ACS Green Chemistry Business Plan Comp.,http://sio-tex.com/news.html,1st Place RBPC Challenge Round Flight,Alex,,,,,,,,
,,,"$125,000.00",Texas Halo Fund,http://alliance.rice.edu/rbpc2014_winners_pressrelease/,,Alex,,,,,,,,
,,,"$99,756",EPA SBIR,http://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.abstractDetail/abstract/10490/report/0,,Alex,,,,,,,,
MIT Clean Energy Prize,2013,Sistine Solar,"$1,000,000.00",,http://www.prweb.com/releases/solarskin/beautifullysustainable/prweb13091176.htm,"NYC ACRE Incubator, Collaboration with Element Hotels, Greentown Labs, TechBridge Accelerator",Alex,,,,,,,,
,,,"$20,000.00",MIT Clean Energy Prize,http://news.mit.edu/2013/clean-energy-prize-awards-0507,,Alex,,,,,,,,
,,,Undisclosed,Fraunhofer DOE Grant,http://www.sparkcleanenergy.org/news/art-with-a-clean-energy-purpose-sistine-solar,,Alex,,,,,,,,
Clean Energy Trust,2013,SkySpecs,"$595,000",Angel or Other Seed Funds,Awardee Reporting,30 under 30,Alex,,,,,,,,
,,,"$3,000,000.00",,https://www.crunchbase.com/organization/skyspecs#/entity,,Alex,,,,,,,,
,,,"$500,000.00",Accelerate Michigan Innovation Competition,http://innovateblue.umich.edu/u-m-sweeps-accelerate-michigan-competition/,,Alex,,,,,,,,
,,,"$50,000.00",MCEVC,,,Alex,,,,,,,,
,,,"$172,500.00",NSF,https://www.sbir.gov/sbirsearch/detail/418342,,Alex,,,,,,,,
Clean Energy Trust,2013,Smartility,,,,,Alex,,Website dead,,,,,,
MIT Clean Energy Prize,2014,SmartSave,,,,,Alex,,,,,,,,
Caltech First Look West,2013,SMoL Fuel Cells,,,,,Alex,,,,,,,,
MIT Clean Energy Prize,2013,Sodium Energy,,,,,Alex,,,,,,,,
Clean Energy Trust,2015,SOFI Automotive,,,,,Alex,,Many similar named project and companies No specific info,,,,,,
Clean Energy Trust,2012,Solar Still,,,,,Anthony,,,,,,,,
MIT Clean Energy Prize,2012,Solar Tri-Gen,,,,MassChallenge Accelerator,Anthony,,,,,,,,
Clean Energy Trust,2013,Soletics,"$15,000.00",TCU Values and Ventures,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,Emerge Xcelerate,Anthony,,,,,,,,
,,,"$7,500.00",UCCS Sports/Outdoors BPC,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
,,,"$10,000.00",Mwest,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
,,,"$25,000.00",Accelerate Michigan Innovation Competition,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
,,,"$1,000.00",MCEVC,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
,,,"$1,000.00",Harvard Int'l BMC,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
,,,"$2,500",Michigan Collegiate Innovation Prize,https://m.facebook.com/Soletics/about?expand_all=1&ref=page_internal,,Anthony,,,,,,,,
"MIT Clean Energy Prize, Rice Business Plan Competition",2012,SolidEnergy,"$4,500,000",Series A,Awardee Reporting,"Partnership with A123 Systems, 2014 R&D 100 Winner, Forbes 30 under 30 energy, Most Promising prize at Rice Alliance Energy Venue",Anthony,http://www.solidenergysystems.com/,,,,,,,
MIT Clean Energy Prize,2012,,"$4,000,000",Series B,http://www.sec.gov/Archives/edgar/data/1587226/000158722615000002/xslFormDX01/primary_doc.xml,,Anthony,,,,,,,,
MIT Clean Energy Prize,2012,,"$2,700,000.00",Series B,http://www.sec.gov/Archives/edgar/data/1587226/000158722615000003/xslFormDX01/primary_doc.xml,,Anthony,,,,,,,,
,,,"$12,000,000.00",Series B,https://i3connect.com/company/solidenergy,,Anthony,,,,,,,,
,,,"$20,000.00",MIT Clean Energy Prize,http://bostinno.streetwise.co/all-series/inspiring-the-next-generation-of-entrepreneurs-mits-clean-energy-prize-awards-200k/,,Anthony,,,,,,,,
,,,"$12,000.00",MIT Accelerate Contest,http://bostinno.streetwise.co/2012/02/23/mit-accelerates-into-their-100k-competition-awarding-an-early-12k-to-the-worlds-safest-battery/,,Anthony,,,,,,,,
,,,"$40,000.00",MassCEC Grant,http://www.masscec.com/about-masscec/news/masscec-awarded-200000-clean-energy-research-grants-massachusetts-clean-tech,,Anthony,,,,,,,,
,,,"$20,000.00",Rice BPC,https://web.archive.org/web/20120520064427/http://money.cnn.com/galleries/2012/smallbusiness/1205/gallery.rice-business-plan-winners.fortune/4.html,,Anthony,,,,,,,,
,,,"$15,000",MIT $100k BPC,http://news.mit.edu/2012/cloud-top-wins-mit-100k-0517,,Anthony,,,,,,,,
CU Boulder Clean Energy Competition,2012,"Solight, LLC (fmr Cottonwood Solar)","$20,000",,Awardee Reporting,,Anthony,,,,,,,,
Clean Energy Trust,2013,Solutions,"$1,100,000",DOE EERE Program Funds,Awardee Reporting,,Anthony,,,,,,,,
MIT Clean Energy Prize,2014,Sparkfull,,,,PayPal Start Tank,Anthony,,,,,,,,
Clean Energy Trust,2014,Spero Energy,"$50,000.00",CET Aviation Energy Prize,http://techportal.eere.energy.gov/news?id=21445,"30 under 30 manufacturing,",Anthony,,,,,,,,
,,,"$150,000.00",SBIR Phase 1,http://purdueresearchpark.com/news/alternative-energy-firm-receives-nearly-150000-funding-us-department-energy,,Anthony,,,,,,,,
,,,"$1,000,000.00",SBIR Phase 2,http://purdueresearchpark.com/news/spero-energy-receives-1-million-funding-department-energy,,Anthony,,,,,,,,
,,,"$50,000.00",Elevate Ventures,"http://www.purdue.edu/newsroom/releases/2014/Q4/purdue-research-park-based-renewable-chemicals-startup-receives-50,000-grant-from-elevate-ventures.html",,Anthony,,,,,,,,
,,,"$30,000",Burton D. Morgan BPC,http://www.speroenergy.com/news,,Anthony,,,,,,,,
MIT Clean Energy Prize,2012,Spindrift Energy,"$95,000.00",California Energy Commission,Awardee Reporting,,Anthony,,,,,,,,
,,,"$10,000.00",MIT CEP Audience Choice,http://bostinno.streetwise.co/all-series/inspiring-the-next-generation-of-entrepreneurs-mits-clean-energy-prize-awards-200k/,,Anthony,,,,,,,,
Caltech First Look West,2012,Spinnergy,,,,,Anthony,,,,,,,,
Clean Energy Trust,2014,Sprav Water,"10,000",Ohio Clean Energy Challenge,,,Anthony,,,,,,,,
Clean Energy Trust,2013,Spray-n-Stretch,"$2,500.00",MCEVC,,,Anthony,,,,,,,,
"Caltech First Look West Competition
 Rice Business Plan Competition 2012",2012,Stanford Nitrogen Group,"$390,000.00",,Awardee Reporting,Forbes 30 under 30,Anthony,,,,,,,,
,,,"1,000",Rice BPC,,,Anthony,,,,,,,,
Clean Energy Trust,2013,Stef Gen,"10,000",Wisconsin CET,,,Anthony,,,,,,,,
Caltech First Look West,2013,Stirling Innovations,"1,000",UNLV College of Engineering Senior Design Comp. First Place ME,,,Anthony,,,,,,,,
MIT Clean Energy Prize,2013,SunHub,"10,000",MIT Clean Energy Prize,http://news.mit.edu/2013/clean-energy-prize-awards-0507,,Anthony,,,,,,,,
Clean Energy Trust,2012,Superior AquaSystems (fmr Superior Aqua Culture Systems),"$5,000.00",Judge's Choice MCEVC,,,Anthony,,,,,,,,
,,,"$20,000.00",Sault Ste Marie SMART zone,http://www.eup-planning.org/PDF/CEDS/2014%20CEDS%20performance%20report.pdf,,Anthony,,,,,,,,
,,,,,,,Anthony,,,,,,,,
"CU Boulder Clean Energy Competition, Rice Business Plan Competition",2014,Boom Algae (fmr Superior Ecotech),"$10,000",Other Competitions Jake Jabs Business Plan Competition,"Awardee Reporting, http://legacy.9news.com/story/money/business/2014/06/24/boulder-cleantech-company/11302969/","Partnership with Avery Brewing Co., Collaboration with Upslope Brewery",Anthony,,,,,,,,
,,,"$5,000.00",Other Competitions,Awardee Reporting,,Anthony,,,,,,,,
,,,"$4,500.00",CU New Venture Challenge,http://www.xconomy.com/boulder-denver/2013/04/18/algae-harvesters-online-market-for-teachers-share-cu-biz-plan-title/,,Anthony,,,,,,,,
,,,"$75,000.00",Boulder Energy Challenge Grant,https://www.linkedin.com/in/danieljhiggs,,Anthony,,,,,,,,
,,,"$1,000.00",Rice BPC,https://www.linkedin.com/in/philipgcalabrese,,Anthony,,,,,,,,
MIT Clean Energy Prize,2015,Surya Conversions,10000,Esprit Venture Challenge,http://teamboulder.org/2015/12/uptake-esprit-venture-challenge-propels-startup-social-entrepreneurs/,"Catalyze CU Incubator, Draper University Accelerator",Anthony,,,,,,,,
,,,2500-10000,CU-Boulder Entrepreneurship Initiative Seed Award,https://www.linkedin.com/in/samuel-winston-6671879,,Anthony,,,,,,,,
Clean Energy Trust,2013,Sustain-A-Watt Energy Solutions,,,,,Anthony,,,,,,,,
ACC Clean Energy Challenge,2012,Synco Energy,,,,,Anthony,,,,,,,,
"MIT Clean Energy Prize, Rice Business Plan Competition",2013,Takachar,"$10,000.00",Walmart's BPC,http://takachar.blogspot.com/2013/04/takachar-emerges-second-in-walmarts.html,"30 under 30 energy, Winner Tufts Pitch Comptition",Anthony,,,,,,,,
,,,"$13,500.00",Alva Fellow Grant,http://99u.com/articles/15026/introducing-the-2013-alva-emerging-fellows,,Anthony,,,,,,,,
,,,$500.00,Rice BPC,http://thekatynews.com/tag/northwestern-universitys-sinode-systems/,,Anthony,,,,,,,,
Clean Energy Trust,2014,Team A.C.,,,,,Anthony,,,,,,,,
Caltech First Look West,2013,Temporary Energy,,,,,Anthony,,,,,,,,
Clean Energy Trust,2013,TerraWatt Solar,,,,,Anthony,,,,,,,,
MIT Clean Energy Prize,2014,Thermovolt Solar,25000,MIT Clean Energy Prize,http://cep.mit.edu/cep/2014/content/2014-grand-prize-showcase-awards-success,,Anthony,,,,,,,,
CU Boulder Clean Energy Competition,2012,Thrive Energy,3000,CU New Venture Challenge Cleantech Champions,https://www.facebook.com/cucleantech/?target_post=261872103906333&ref=story_permalink,,Anthony,,,,,,,,
Clean Energy Trust,2012,Torch Hybrid Marine,,,,,Anthony,,,,,,,,
Clean Energy Trust,2014,Transtorage,,,,,Anthony,,,,,,,,
ACC Clean Energy Challenge,2013,Trash 2 Cash-Energy,"$5,000.00",NCIIA E-Team Program,,Tampa Bay Tech Incubator,Anthony,,,,,,,,
,,,"$20,000.00",Clean Tech Open,"http://us-cleantech.com/usf-startup-selected-for-nciias-e-team-program/, https://www.facebook.com/Trash2CashEnergy/",,Anthony,,,,,,,,
Rice Business Plan Competition,2015,TriboTEX,"$3,000.00",Licensing Executives Society (LES) Foundation International Graduate Student Business Plan Competition,https://news.wsu.edu/2015/06/19/wsu-student-entrepreneurs-capture-international-recognition/#.VYxjxWCJmJU,LES Foundation Members' Choice Award,Anthony,,,,,,,,
,,,"$2,500.00",UW BPC,http://depts.washington.edu/foster/75000-awarded-to-student-led-startups/,,Anthony,,,,,,,,
,,,"$1,000.00",LES Competition,http://www.lesfoundation.org/competition/2015.html,,Anthony,,,,,,,,
MIT Clean Energy Prize,2014,uLink,25000,MIT Clean Energy Prize,http://cep.mit.edu/cep/2014/content/2014-grand-prize-showcase-awards-success,,Anthony,,,,,,,,
ACC Clean Energy Challenge,2013,UM Waste to Energy Project,,,,,Anthony,,,,,,,,
MIT Clean Energy Prize,2014,Unified Solar,"$125,000",MIT Clean Energy Prize,http://news.mit.edu/2014/mit-team-wins-clean-energy-prize-solving-solars-shade-problem-0429,2nd Place Stanford vs. MIT pitch event,Anthony,,,,,,,,
MIT Clean Energy Prize,2014,Unified Solar,"$15,000",MIT100K competition,https://tw.linkedin.com/in/albertchan1204,,Anthony,,,,,,,,
MIT Clean Energy Prize,2013,"Oklo, Inc (fmr Upower)","$50,000",MassChallenge,Awardee Reporting,Forbes 30 under 30 energy,Anthony,,,,,,,,
,,,"$120,000.00",Y Combinator,,,Anthony,,,,,,,,
,,,"$1,000.00",Future Energy @ MIT pitch competition,http://web.mit.edu/nse/news/2013/nse-teams-sweep-pitch-competition.html,,Anthony,,,,,,,,
,,,"$20,000.00",MIT Clean Energy Prize,http://news.mit.edu/2013/clean-energy-prize-awards-0507,,Anthony,,,,,,,,
,,,"$15,000.00",MIT $100K competition,http://web.mit.edu/nse/news/2014/dewitte-forbes-30under30.html,,Anthony,,,,,,,,
Clean Energy Trust,2013,Vimana,,,,,Anthony,,,,,,,,
MIT Clean Energy Prize,2013,Visolis,"$500,000.00",Cyclotron Road,http://www.cyclotronroad.org/visolis/,"Northeast Cleantech Open, Greentown Labs",Anthony,,,,,,,,
,,,"$50,000.00",Winner of Winners Competition,http://www.cleanenergycouncil.org/files/NECEC_Institute_Press_ReleaseFinal.pdf,,Anthony,,,,,,,,
,,,"$75,000.00",Global Venture Labs Investment Competition,http://texasventurelabs.tumblr.com/post/49873639281/biotechnology-company-visolis-wins-global-venture,,Anthony,,,,,,,,
,,,"$10,000.00",Asia Venture Challenge,http://www.cyclotronroad.org/visolis/,,Anthony,,,,,,,,
,,,"$225,000.00",NSF STTR,https://www.sbir.gov/sbc/visolis-inc,,Anthony,,,,,,,,
MIT Clean Energy Prize,2015,Vorpal,,,,,Anthony,,,,,,,,
Clean Energy Trust,2013,Water & Environmental Technologies,,,,,Anthony,,,,,,,,
Rice Business Plan Competition,2014,Wavve,"$16,500.00",Rice BPC,http://bauerticker.uh.edu/recognition/undergraduates-win-30000-in-awards-at-rice-tcu-business-plan-competitions/,"Red Labs Accelerator, H20 Challenge Accelerator, Inc. 50 Emerging Global Entrepreneurs, Kairos 50 Emerging Entrepreneurs to Watch, Winner RECESS Competition",Anthony,,,,,,,,
,,,"$10,000.00",Les Foundation Competition,http://wavvestream.com/#press,,Anthony,,,,,,,,
,,,"$16,868.85",Hello Tomorrow Challenge,http://hello-tomorrow.org/hello-tomorrow-challenge-food-agriculture/,,Anthony,,,,,,,,
,,,"$10,000.00",Open Houston Competition,http://www.thingsseenandunseen.com/u-of-h-wolff-center-for-entrepreneurship,,Anthony,,,,,,,,
,,,"$50,000.00",UH grant,https://www.linkedin.com/in/ivette-rubio-24965b66,,Anthony,,,,,,,,
,,,"$5,000.00",Global Student Business Plan Competition,http://www.bauer.uh.edu/centers/wce/programs/competitions.php,,Anthony,,,,,,,,
,,,"30,000",California Dreamin Competition,http://www.bauer.uh.edu/centers/wce/programs/competitions.php,,Anthony,,,,,,,,
Caltech First Look West,2012,Xite Solar,"40,000",2012 FLOW 3rd place,,,Anthony,,,,,,,,
Caltech First Look West,2013,ZYMtronix,"$150,000.00",SBIR Phase 1,http://www.zymtronix.com/?page_id=151,"Codexis Tech Collaboration, Spinoff UMA Bioseed wins 2 competitions",Anthony,,,,,,,,
MIT Clean Energy Prize,2014,,"$25,000.00",NY Tech Garden Grants for Growth,http://www.zymtronix.com/?page_id=152,,Anthony,,,,,,,,
,,,"$2,000.00",Bangkok Business Challenge,http://www.zymtronix.com/?page_id=153,,Anthony,,,,,,,,
,,,$750.00,Les Foundation Competition,http://www.zymtronix.com/?page_id=154,,Anthony,,,,,,,,
,,,"$5,625.00",Cornell MSE Competition,http://www.zymtronix.com/?page_id=155,,Anthony,,,,,,,,
,,,$750.00,Johns Hopkins BPC,http://www.zymtronix.com/?page_id=156,,Anthony,,,,,,,,
,,,"$2,500.00",NAPEC Innovation Challenge,http://www.zymtronix.com/?page_id=157,,Anthony,,,,,,,,
,,,"$30,000.00",SBIR Phase 1b,http://www.zymtronix.com/?page_id=158,,Anthony,,,,,,,,
,,,"$747,000.00",SBIR Phase 2,http://www.zymtronix.com/?page_id=159,,Anthony,,,,,,,,
TOTAL,,,"$120,931,087.85",,,,,,,,,,,,
